date,totalDischarge_KB100,totalDischarge_KB150,totalDischarge_KB300,totalDischarge_KB175,dailyDischarge_KB100,dailyDischarge_KB150,dailyDischarge_KB175,dailyDischarge_KB300,dailyStage_KB100,dailyStage_KB150,dailyStage_KB300,dailyStage_MB100,totalClkg_KB100,totalClkg_KB150,totalClkg_KB175,totalClkg_KB175_corrected,totalClkg_KB300,totalClkg_MB100,fluxClKB100,fluxClKB300,fluxClKB150,season,year,month,day,rain_mm,avg_PET,airtempr,daily_ave_water_temp,monthYear,waterYear,rownum,flowRatio
2018-01-20,6965.719140775366,2521.0143241831065,2078.506179335692,2366.1986372565657,0.0806217493145297,0.029178406529897068,0.02738655830158062,0.024056784483051992,0.43911168678248497,0.15325335893528394,0.2458190768566496,0.15078647973178913,794.1045990119999,525.130788952,213.48859726760642,213.48859726760642,55.485212792393504,19.345824135487124,114.00181129375923,26.69475479265933,208.3013904025159,winter,2018,1,20,0,0.2949677419354838,-1.53940625,-0.04777777777777777,Jan 2018,2018,20,false
2018-01-21,6616.51047433087,2552.156980413171,2072.0765456855706,1992.2769482321316,0.07657998234179247,0.029538853939967257,0.023058760974908932,0.023982367426916326,0.43382125967692775,0.15395081189677942,0.24554786513258167,0.14827543325205725,789.288247132,560.314800273,174.52452080961632,174.52452080961632,54.448926049383736,17.804907635963723,119.29071225596766,26.277468447174897,219.54558617404882,winter,2018,1,21,0,0.2949677419354838,-0.24903125,-0.0171875,Jan 2018,2018,21,false
2018-01-22,6886.112549555295,2747.793888990457,2216.0243578401464,1922.2943027246904,0.07970037673096407,0.03180317001146363,0.022248776651906138,0.025648430067594288,0.43774591633648274,0.15822473458295233,0.2517530023366861,0.15049944132886311,842.471374401,615.0983339109999,165.93522448865764,165.93522448865764,61.43781600134237,19.289370633455693,122.34353829366422,27.724341469433526,223.85170022231466,winter,2018,1,22,0.508,0.2949677419354838,1.585375,0.013888888888888886,Jan 2018,2018,22,false
2018-01-23,23600.461886238183,10387.955205629347,5893.163808356565,7319.342872252279,0.27315349405368267,0.12023096302811744,0.08471461657699397,0.06820791444857136,0.5631798999288834,0.2845302646042873,0.36215955435334757,0.2957865547597277,1600.6821144490002,1167.756134973,376.4472650574505,380.1980438696943,56.478714418549544,NA,67.82418590639466,9.583767947950498,112.4144368990136,winter,2018,1,23,2.2859999999999996,0.2949677419354838,3.863375,-0.06756944444444445,Jan 2018,2018,23,false
2018-01-24,53180.323765432084,11431.502861356934,4884.677979100978,36864.14292497417,0.6155130065443528,0.1323090608953349,0.42666832089090473,0.05653562475811317,0.7124941837346337,0.3075402330590267,0.3435487688204815,0.23114788042263545,3361.299903579997,1599.70892124,1703.4691976927531,1703.4691976927531,58.121784647247345,NA,63.205705899911926,11.898795559486324,139.9386362966901,winter,2018,1,24,26.924,0.2949677419354838,-2.991614583,-0.06527777777777778,Jan 2018,2018,24,false
2018-01-25,33230.1113055152,7676.996954868114,2952.478791308243,22600.635559338854,0.3846077697397593,0.08885413142208465,0.26158143008494045,0.0341722082327343,0.6325403200243828,0.24946975337803515,0.2810889912628257,0.17392220664431576,2592.8649016700006,920.2957790580002,1615.215952456813,1615.215952456813,57.35317015518637,20.66854535318616,78.02757197625344,19.425430023080093,119.87705407052755,winter,2018,1,25,0,0.2949677419354838,-8.159614583,-0.043923611111111094,Jan 2018,2018,25,false
2018-01-26,13398.917490499814,5997.946199620635,2289.320315755664,5111.650975123515,0.15508006354745155,0.0694206736067203,0.05916262702689254,0.026496762913838706,0.5123392119780554,0.22104611724067866,0.25493720293609623,0.1579052479427004,1353.2658476499998,775.1611226159997,521.63226321931,521.63226321931,56.47246181469002,22.984142696905362,100.99814769435673,24.667785205081472,129.23775852891578,winter,2018,1,26,0,0.2949677419354838,-6.959010417,0.018333333333333333,Jan 2018,2018,26,false
2018-01-27,10936.758173038861,5245.040911436262,2476.491111727662,3215.2261498749426,0.1265828492249868,0.06070649203051229,0.03721326562355258,0.028663091570922013,0.4886592631311592,0.2075567510921467,0.2627016277049674,0.16199212806055066,1161.0482681300005,730.2982559559998,372.6086158841875,372.6086158841875,58.14139628981258,29.156397818368088,106.1601847421478,23.477328876521465,139.235950355251,winter,2018,1,27,0,0.2949677419354838,2.752166667,0.2573611111111111,Jan 2018,2018,27,false
2018-01-28,11086.41094704347,4680.73816624601,2916.4254850033217,3489.247295794139,0.12831494151670683,0.05417521025747697,0.04038480666428402,0.033754924594945855,0.49027286498018896,0.19710287000914353,0.2799271691557446,0.17236795484100376,1016.2674531169998,711.8248129339997,248.32467986294017,248.32467986294017,56.11796032005992,24.93947690123786,91.66784976413116,19.242034678625092,152.0753324907488,winter,2018,1,28,2.54,0.2949677419354838,3.5635,0.475625,Jan 2018,2018,28,false
2018-01-29,9410.563700240473,3828.493991537431,2287.4138858806373,3294.655822822413,0.10891856134537584,0.04431127305020175,0.038132590541926074,0.026474697753248115,0.4714477498730062,0.18064815975820378,0.2548559113583252,0.14977249319313227,928.0197202130004,636.9282061690001,240.86859836488168,240.86859836488168,50.2229156791183,35.70801561682593,98.61467918115109,21.956199526953057,166.3652098127559,winter,2018,1,29,0,0.2949677419354838,-0.09625,0.5005902777777778,Jan 2018,2018,29,false
2018-01-30,7374.62778761211,3236.3876738228328,2085.613467553085,2052.6266462361946,0.08535448828254757,0.03745819066924575,0.023757252849955956,0.02413904476334589,0.44462944254800363,0.16861340927562735,0.2461372097937616,0.1462107710555725,798.9322311579999,587.3532594799999,164.60141261459094,164.60141261459094,46.97755906340904,26.80957429430131,108.3352616792464,22.52457600330169,181.48420976595062,winter,2018,1,30,0,0.2949677419354838,-3.883677083,0.2829513888888889,Jan 2018,2018,30,false
2018-01-31,6787.318437359821,2834.8544897658926,2150.2806335187565,1802.1833140751696,0.07855692635833125,0.03281081585377191,0.020858603172166316,0.024887507332393016,0.43551615310372854,0.16011807970131056,0.2488471688509595,0.1645387845677131,782.6956364400006,566.5126541940001,169.23903328737507,169.23903328737507,46.943948958624986,32.82853786322957,115.31735893394433,21.83154525360957,199.83835369299106,winter,2018,1,31,0.254,0.2949677419354838,-5.481239583,0.061250000000000006,Jan 2018,2018,31,false
2018-02-01,5353.326351093231,2625.496213388389,2329.1531528298556,398.6769848749869,0.06195979573024573,0.03038768765495821,0.004614316954571608,0.02695779112071592,0.41269480158488264,0.15557941984151172,0.25667130336279526,0.1590915294625622,638.0864390340001,561.021811712,31.4978651140606,31.551323990468088,45.56676220793939,27.494237140648682,119.1943844230033,19.563660789148646,213.68220180670593,winter,2018,2,1,1.016,0.49892857142857144,-0.38109375,0.2783333333333333,Feb 2018,2018,32,false
